"Demographics","Subgroup","Total Cases","Year","Own-party feeling","Rival-party feeling"
"gender and race","Hispanic men","55","1994","75.2","48.2"
"gender and race","Hispanic men","54","1996","80.3","43.2"
"gender and race","Hispanic men","54","1998","77.6","48"
"gender and race","Hispanic men","54","2000","73.8","46.3"
"gender and race","Hispanic men","50","2004","71.9","44.3"
"gender and race","Hispanic men","179","2008","74.4","39.9"
"gender and race","Hispanic men","170","2012","72.2","34.8"
"gender and race","Hispanic men","185","2016","67.1","29.3"
"gender and race","Hispanic men","291","2020","70.4","25.6"
"gender and race","Hispanic men","229","2024","68.2","23.7"
"gender and race","Other men","9","1978","NA","NA"
"gender and race","Other men","9","1980","NA","NA"
"gender and race","Other men","3","1982","NA","NA"
"gender and race","Other men","14","1984","NA","NA"
"gender and race","Other men","18","1986","NA","NA"
"gender and race","Other men","16","1988","NA","NA"
"gender and race","Other men","26","1990","NA","NA"
"gender and race","Other men","27","1992","NA","NA"
"gender and race","Other men","15","1994","NA","NA"
"gender and race","Other men","22","1996","NA","NA"
"gender and race","Other men","14","1998","NA","NA"
"gender and race","Other men","37","2000","68.6","41.5"
"gender and race","Other men","20","2004","74.5","47"
"gender and race","Other men","31","2008","66","28.9"
"gender and race","Other men","56","2012","61.3","32.8"
"gender and race","Other men","125","2016","61.7","32"
"gender and race","Other men","275","2020","68.5","20.9"
"gender and race","Other men","191","2024","64.8","23.7"
"gender and race","White women","822","1978","72.1","48.7"
"gender and race","White women","639","1980","71.3","46.6"
"gender and race","White women","549","1982","74.4","45.4"
"gender and race","White women","844","1984","75.2","45.9"
"gender and race","White women","793","1986","74.2","47.2"
"gender and race","White women","720","1988","74.8","46.1"
"gender and race","White women","676","1990","71.5","47.7"
"gender and race","White women","847","1992","70.2","42"
"gender and race","White women","640","1994","69.5","40.5"
"gender and race","White women","648","1996","70.8","40.4"
"gender and race","White women","436","1998","68.6","41.9"
"gender and race","White women","637","2000","72.6","41.3"
"gender and race","White women","412","2004","74.2","37.2"
"gender and race","White women","554","2008","71","35.6"
"gender and race","White women","433","2012","68.9","35.3"
"gender and race","White women","1366","2016","66.1","25.8"
"gender and race","White women","2838","2020","73.4","17.7"
"gender and race","White women","1943","2024","72.6","18.8"
"gender and race","Black women","109","1978","78.1","42.7"
"gender and race","Black women","93","1980","82.2","48.5"
"gender and race","Black women","83","1982","85.8","38"
"gender and race","Black women","135","1984","81.8","43.5"
"gender and race","Black women","161","1986","80.4","41.1"
"gender and race","Black women","153","1988","82.3","43.7"
"gender and race","Black women","133","1990","77.5","42.4"
"gender and race","Black women","152","1992","77","40.6"
"gender and race","Black women","108","1994","79.1","51"
"gender and race","Black women","104","1996","81.2","43.9"
"gender and race","Black women","83","1998","85.8","34.2"
"gender and race","Black women","103","2000","83.1","41.3"
"gender and race","Black women","81","2004","78.5","40.4"
"gender and race","Black women","287","2008","82.1","33.7"
"gender and race","Black women","299","2012","84.6","23.8"
"gender and race","Black women","208","2016","81.8","23.6"
"gender and race","Black women","414","2020","76.8","22"
"gender and race","Black women","270","2024","75.7","23.3"
"gender and race","Hispanic women","35","1978","76.1","43.8"
"gender and race","Hispanic women","25","1980","82","46.5"
"gender and race","Hispanic women","24","1982","77.9","41.5"
"gender and race","Hispanic women","64","1984","77.6","52.1"
"gender and race","Hispanic women","53","1986","78.1","48.2"
"gender and race","Hispanic women","76","1988","81.4","49.7"
"gender and race","Hispanic women","65","1990","72.5","50.8"
"gender and race","Hispanic women","99","1992","75","50.3"
"gender and race","Hispanic women","64","1994","69.7","48.8"
"gender and race","Hispanic women","78","1996","75.1","44.7"
"gender and race","Hispanic women","68","1998","76.7","44.8"
"gender and race","Hispanic women","66","2000","73.9","43.6"
"gender and race","Hispanic women","46","2004","79.4","47.8"
"gender and race","Hispanic women","251","2008","74.2","41.1"
"gender and race","Hispanic women","223","2012","75.6","33.1"
"gender and race","Hispanic women","170","2016","72.6","30.4"
"gender and race","Hispanic women","338","2020","73.5","24.7"
"gender and race","Hispanic women","284","2024","69.9","26.1"
"gender and race","Other women","7","1978","NA","NA"
"gender and race","Other women","4","1980","NA","NA"
"gender and race","Other women","4","1982","NA","NA"
"gender and race","Other women","17","1984","NA","NA"
"gender and race","Other women","13","1986","NA","NA"
"gender and race","Other women","34","1988","NA","NA"
"gender and race","Other women","17","1990","NA","NA"
"gender and race","Other women","20","1992","NA","NA"
"gender and race","Other women","12","1994","NA","NA"
"gender and race","Other women","15","1996","NA","NA"
"gender and race","Other women","8","1998","NA","NA"
"gender and race","Other women","52","2000","71.8","44.4"
"gender and race","Other women","24","2004","73.4","39.7"
"gender and race","Other women","32","2008","68.2","38.4"
"gender and race","Other women","64","2012","72","35.3"
"gender and race","Other women","145","2016","68.6","29.8"
"gender and race","Other women","293","2020","68","25"
"gender and race","Other women","179","2024","71","21.7"
"gender and age","18-29 men","190","1978","65","49"
"gender and age","18-29 men","138","1980","69.5","45.5"
"gender and age","18-29 men","109","1982","68.6","43.1"
"gender and age","18-29 men","194","1984","69.6","43.5"
"gender and age","18-29 men","192","1986","72.9","47.2"
"gender and age","18-29 men","164","1988","75.7","46.2"
"gender and age","18-29 men","179","1990","66.1","47.1"
"gender and age","18-29 men","198","1992","66.1","43.8"
"gender and age","18-29 men","136","1994","68.5","44.5"
"gender and age","18-29 men","99","1996","70.8","42.3"
"gender and age","18-29 men","110","1998","68.4","44.2"
"gender and age","18-29 men","89","2000","70.1","44.9"
"gender and age","18-29 men","104","2004","69.4","41.6"
"gender and age","18-29 men","146","2008","70.9","34.8"
"gender and age","18-29 men","178","2012","68.7","37.2"
"gender and age","18-29 men","266","2016","64.7","27.4"
"gender and age","18-29 men","384","2020","65.5","21.6"
"gender and age","18-29 men","218","2024","64.6","24.1"
"gender and age","30-44 men","251","1978","66.6","46.9"
"gender and age","30-44 men","157","1980","68.2","46.4"
"gender and age","30-44 men","167","1982","71.1","45.8"
"gender and age","30-44 men","271","1984","70.7","47"
"gender and age","30-44 men","278","1986","73.3","45.4"
"gender and age","30-44 men","269","1988","73.8","42"
"gender and age","30-44 men","264","1990","68.5","47.6"
"gender and age","30-44 men","363","1992","65.7","39.1"
"gender and age","30-44 men","273","1994","68.2","38.6"
"gender and age","30-44 men","249","1996","67.6","38"
"gender and age","30-44 men","163","1998","67.3","40.2"
"gender and age","30-44 men","250","2000","69.4","42.5"
"gender and age","30-44 men","124","2004","69.1","44.5"
"gender and age","30-44 men","230","2008","67.8","32.5"
"gender and age","30-44 men","223","2012","65.8","33.6"
"gender and age","30-44 men","377","2016","66","27.1"
"gender and age","30-44 men","770","2020","68.1","20.7"
"gender and age","30-44 men","548","2024","66.1","20.6"
"gender and age","45-59 men","179","1978","71.5","51"
"gender and age","45-59 men","128","1980","73.4","47.3"
"gender and age","45-59 men","115","1982","71.8","44"
"gender and age","45-59 men","178","1984","76.3","47"
"gender and age","45-59 men","165","1986","70.8","46.3"
"gender and age","45-59 men","148","1988","73.6","49"
"gender and age","45-59 men","165","1990","72.2","44.3"
"gender and age","45-59 men","219","1992","68.5","41.7"
"gender and age","45-59 men","158","1994","69.5","41.6"
"gender and age","45-59 men","176","1996","71.5","43.2"
"gender and age","45-59 men","133","1998","68.7","36.7"
"gender and age","45-59 men","194","2000","71","38"
"gender and age","45-59 men","142","2004","73.2","38.8"
"gender and age","45-59 men","269","2008","67.6","32.6"
"gender and age","45-59 men","193","2012","67.6","32.7"
"gender and age","45-59 men","468","2016","64.2","25.7"
"gender and age","45-59 men","782","2020","69","17.8"
"gender and age","45-59 men","498","2024","66.9","21.5"
"gender and age","60+ men","146","1978","74.9","45.6"
"gender and age","60+ men","138","1980","77.2","46.5"
"gender and age","60+ men","138","1982","77.1","43.7"
"gender and age","60+ men","192","1984","77.6","45.4"
"gender and age","60+ men","168","1986","76.8","45.5"
"gender and age","60+ men","163","1988","81.8","43.8"
"gender and age","60+ men","172","1990","73.4","44.1"
"gender and age","60+ men","208","1992","73.6","39.7"
"gender and age","60+ men","165","1994","72.9","45.9"
"gender and age","60+ men","165","1996","74.5","40.5"
"gender and age","60+ men","101","1998","72","44.6"
"gender and age","60+ men","148","2000","73.5","40.8"
"gender and age","60+ men","124","2004","75.8","36.7"
"gender and age","60+ men","202","2008","69.3","32.8"
"gender and age","60+ men","166","2012","70.2","25.7"
"gender and age","60+ men","546","2016","66.8","23.9"
"gender and age","60+ men","1242","2020","73.4","15.9"
"gender and age","60+ men","996","2024","74.4","17.9"
"gender and age","18-29 women","249","1978","69.7","47.4"
"gender and age","18-29 women","190","1980","67.6","46.3"
"gender and age","18-29 women","151","1982","72.5","44.4"
"gender and age","18-29 women","266","1984","73.3","44.8"
"gender and age","18-29 women","243","1986","72","45.8"
"gender and age","18-29 women","214","1988","74.5","46.5"
"gender and age","18-29 women","183","1990","70.9","47.9"
"gender and age","18-29 women","198","1992","69.8","44.8"
"gender and age","18-29 women","144","1994","69.3","41.3"
"gender and age","18-29 women","123","1996","68.9","41.5"
"gender and age","18-29 women","96","1998","71.1","43.5"
"gender and age","18-29 women","133","2000","70.7","44.2"
"gender and age","18-29 women","105","2004","71.7","37.3"
"gender and age","18-29 women","192","2008","69.1","36.4"
"gender and age","18-29 women","190","2012","69.9","37.3"
"gender and age","18-29 women","262","2016","66","30.9"
"gender and age","18-29 women","452","2020","68.9","20.8"
"gender and age","18-29 women","270","2024","69.3","22"
"gender and age","30-44 women","281","1978","70.7","47"
"gender and age","30-44 women","212","1980","71.4","45.9"
"gender and age","30-44 women","191","1982","75.6","42"
"gender and age","30-44 women","325","1984","75.3","46.1"
"gender and age","30-44 women","330","1986","72.4","47.4"
"gender and age","30-44 women","331","1988","74.7","45.3"
"gender and age","30-44 women","294","1990","70.9","46.2"
"gender and age","30-44 women","374","1992","70.3","42.9"
"gender and age","30-44 women","285","1994","70.2","41.8"
"gender and age","30-44 women","299","1996","71","41.3"
"gender and age","30-44 women","202","1998","69.2","42.2"
"gender and age","30-44 women","268","2000","72.3","42.9"
"gender and age","30-44 women","148","2004","73.4","38.2"
"gender and age","30-44 women","306","2008","71","37.6"
"gender and age","30-44 women","289","2012","69.5","30.9"
"gender and age","30-44 women","482","2016","69","28.1"
"gender and age","30-44 women","961","2020","71.3","21.3"
"gender and age","30-44 women","634","2024","68","20.6"
"gender and age","45-59 women","215","1978","73.6","49.1"
"gender and age","45-59 women","161","1980","74.4","49.1"
"gender and age","45-59 women","129","1982","76","45.2"
"gender and age","45-59 women","198","1984","77","48.1"
"gender and age","45-59 women","184","1986","78.8","42.1"
"gender and age","45-59 women","184","1988","78.3","47"
"gender and age","45-59 women","138","1990","72.7","47.3"
"gender and age","45-59 women","229","1992","69.3","41"
"gender and age","45-59 women","169","1994","69.8","43.3"
"gender and age","45-59 women","181","1996","73.3","42.2"
"gender and age","45-59 women","140","1998","71.8","38.5"
"gender and age","45-59 women","239","2000","74.9","39.2"
"gender and age","45-59 women","172","2004","75","39.4"
"gender and age","45-59 women","316","2008","73.8","33.1"
"gender and age","45-59 women","292","2012","72.7","33.3"
"gender and age","45-59 women","501","2016","68.7","25.2"
"gender and age","45-59 women","905","2020","74.6","20.1"
"gender and age","45-59 women","600","2024","73.2","20.8"
"gender and age","60+ women","225","1978","78.5","48.5"
"gender and age","60+ women","196","1980","79","46"
"gender and age","60+ women","189","1982","79.1","45.8"
"gender and age","60+ women","263","1984","79.2","45.5"
"gender and age","60+ women","262","1986","79.8","48.9"
"gender and age","60+ women","256","1988","79.4","46.5"
"gender and age","60+ women","279","1990","75.3","48.4"
"gender and age","60+ women","319","1992","76","42.6"
"gender and age","60+ women","245","1994","74.1","45.3"
"gender and age","60+ women","245","1996","77.9","41.9"
"gender and age","60+ women","154","1998","76.8","40.7"
"gender and age","60+ women","219","2000","78.3","40.4"
"gender and age","60+ women","144","2004","80.8","39.3"
"gender and age","60+ women","298","2008","75.5","37.9"
"gender and age","60+ women","226","2012","74.6","34.3"
"gender and age","60+ women","616","2016","71.2","23.1"
"gender and age","60+ women","1461","2020","76.2","18"
"gender and age","60+ women","1061","2024","76.9","19.6"
"gender and region","Men in South","211","1978","69.9","49.1"
"gender and region","Men in South","163","1980","73.7","47"
"gender and region","Men in South","162","1982","75.9","45.8"
"gender and region","Men in South","228","1984","76","48.5"
"gender and region","Men in South","256","1986","76.3","48.5"
"gender and region","Men in South","225","1988","77","46.8"
"gender and region","Men in South","227","1990","73.4","47.9"
"gender and region","Men in South","287","1992","71.1","42.3"
"gender and region","Men in South","240","1994","71.4","44.8"
"gender and region","Men in South","211","1996","73.8","42.5"
"gender and region","Men in South","168","1998","71.6","43.6"
"gender and region","Men in South","211","2000","71","39.4"
"gender and region","Men in South","163","2004","74.8","38.5"
"gender and region","Men in South","355","2008","69.3","33.9"
"gender and region","Men in South","287","2012","70.8","31.6"
"gender and region","Men in South","507","2016","66.2","27.3"
"gender and region","Men in South","974","2020","72.4","19.8"
"gender and region","Men in South","759","2024","70","20.6"
"gender and region","Men in Nonsouth","558","1978","68.5","47.7"
"gender and region","Men in Nonsouth","398","1980","71.2","46.2"
"gender and region","Men in Nonsouth","367","1982","70.7","43.6"
"gender and region","Men in Nonsouth","611","1984","72.2","44.9"
"gender and region","Men in Nonsouth","548","1986","72.1","44.9"
"gender and region","Men in Nonsouth","519","1988","75.5","43.8"
"gender and region","Men in Nonsouth","553","1990","68.4","45.2"
"gender and region","Men in Nonsouth","701","1992","66.8","40.1"
"gender and region","Men in Nonsouth","492","1994","68.5","40.8"
"gender and region","Men in Nonsouth","478","1996","69.2","39.9"
"gender and region","Men in Nonsouth","343","1998","67.4","40.1"
"gender and region","Men in Nonsouth","471","2000","70.8","42.3"
"gender and region","Men in Nonsouth","331","2004","70.2","41.7"
"gender and region","Men in Nonsouth","505","2008","68","32.6"
"gender and region","Men in Nonsouth","497","2012","66.4","32.3"
"gender and region","Men in Nonsouth","1191","2016","64.9","25.2"
"gender and region","Men in Nonsouth","2311","2020","68.1","18.2"
"gender and region","Men in Nonsouth","1600","2024","68","20.5"
"gender and region","Women in South","261","1978","74.9","49.9"
"gender and region","Women in South","215","1980","76.1","47.1"
"gender and region","Women in South","196","1982","78.9","46.3"
"gender and region","Women in South","282","1984","77.6","45.9"
"gender and region","Women in South","332","1986","77.2","47.6"
"gender and region","Women in South","316","1988","78.2","46"
"gender and region","Women in South","257","1990","73.9","47.8"
"gender and region","Women in South","339","1992","74.4","45.1"
"gender and region","Women in South","302","1994","71.9","44.3"
"gender and region","Women in South","317","1996","74.9","44.5"
"gender and region","Women in South","202","1998","75.8","41.9"
"gender and region","Women in South","276","2000","76.7","40.4"
"gender and region","Women in South","174","2004","80.3","42.5"
"gender and region","Women in South","511","2008","74.5","36.8"
"gender and region","Women in South","390","2012","74.1","31.4"
"gender and region","Women in South","614","2016","71.6","25.3"
"gender and region","Women in South","1225","2020","75.8","19.5"
"gender and region","Women in South","846","2024","73.9","20.9"
"gender and region","Women in Nonsouth","714","1978","72.1","47.2"
"gender and region","Women in Nonsouth","546","1980","71.7","46.6"
"gender and region","Women in Nonsouth","465","1982","74.7","43.4"
"gender and region","Women in Nonsouth","781","1984","75.7","46"
"gender and region","Women in Nonsouth","689","1986","74.5","45.7"
"gender and region","Women in Nonsouth","671","1988","75.8","46.3"
"gender and region","Women in Nonsouth","637","1990","72","47.2"
"gender and region","Women in Nonsouth","781","1992","70.4","41.8"
"gender and region","Women in Nonsouth","541","1994","70.3","42.1"
"gender and region","Women in Nonsouth","532","1996","71.2","39.9"
"gender and region","Women in Nonsouth","400","1998","69.9","40.6"
"gender and region","Women in Nonsouth","589","2000","72.7","42.3"
"gender and region","Women in Nonsouth","395","2004","73.3","37"
"gender and region","Women in Nonsouth","624","2008","71","35.4"
"gender and region","Women in Nonsouth","631","2012","70.7","34.6"
"gender and region","Women in Nonsouth","1285","2016","67.5","26.9"
"gender and region","Women in Nonsouth","2680","2020","72.3","19.9"
"gender and region","Women in Nonsouth","1849","2024","71.7","20.4"
"gender and knowledge","Less knowledgeable men","180","1978","69.8","49.2"
"gender and knowledge","Less knowledgeable men","75","1980","75.9","47.4"
"gender and knowledge","Less knowledgeable men","275","1982","74.2","45.2"
"gender and knowledge","Less knowledgeable men","237","1984","74","49.1"
"gender and knowledge","Less knowledgeable men","441","1986","73.3","48.1"
"gender and knowledge","Less knowledgeable men","168","1988","74.4","46.2"
"gender and knowledge","Less knowledgeable men","282","1990","71.1","50.8"
"gender and knowledge","Less knowledgeable men","248","1992","68.4","45.7"
"gender and knowledge","Less knowledgeable men","120","1994","69.9","48.4"
"gender and knowledge","Less knowledgeable men","105","1996","71.7","42.7"
"gender and knowledge","Less knowledgeable men","116","1998","70.4","48.4"
"gender and knowledge","Less knowledgeable men","178","2000","70.5","45.7"
"gender and knowledge","Less knowledgeable men","162","2004","71","46.3"
"gender and knowledge","Less knowledgeable men","406","2008","69.2","35.4"
"gender and knowledge","Less knowledgeable men","114","2012","65.9","33.7"
"gender and knowledge","Less knowledgeable men","376","2016","66.1","30.7"
"gender and knowledge","Less knowledgeable men","744","2020","70.8","24.8"
"gender and knowledge","Less knowledgeable men","676","2024","66.7","23.1"
"gender and knowledge","More knowledgeable men","588","1978","68.6","47.8"
"gender and knowledge","More knowledgeable men","429","1980","70.7","46.8"
"gender and knowledge","More knowledgeable men","252","1982","70.1","43.4"
"gender and knowledge","More knowledgeable men","499","1984","72.8","44.3"
"gender and knowledge","More knowledgeable men","362","1986","73.4","43.5"
"gender and knowledge","More knowledgeable men","495","1988","76.4","44.4"
"gender and knowledge","More knowledgeable men","498","1990","69.1","43.3"
"gender and knowledge","More knowledgeable men","642","1992","67.8","38.9"
"gender and knowledge","More knowledgeable men","604","1994","69.2","40.5"
"gender and knowledge","More knowledgeable men","514","1996","71","40.6"
"gender and knowledge","More knowledgeable men","395","1998","68.2","39"
"gender and knowledge","More knowledgeable men","414","2000","71.3","39.1"
"gender and knowledge","More knowledgeable men","282","2004","71.8","37"
"gender and knowledge","More knowledgeable men","376","2008","67.8","30.8"
"gender and knowledge","More knowledgeable men","419","2012","67.4","28.4"
"gender and knowledge","More knowledgeable men","1275","2016","64.9","24"
"gender and knowledge","More knowledgeable men","2486","2020","68.7","16.5"
"gender and knowledge","More knowledgeable men","1542","2024","68.7","19.6"
"gender and knowledge","Less knowledgeable women","416","1978","72.4","49.9"
"gender and knowledge","Less knowledgeable women","220","1980","74.6","52.2"
"gender and knowledge","Less knowledgeable women","500","1982","75.8","44.2"
"gender and knowledge","Less knowledgeable women","442","1984","74.8","47.9"
"gender and knowledge","Less knowledgeable women","724","1986","75.1","47.5"
"gender and knowledge","Less knowledgeable women","408","1988","75","47.6"
"gender and knowledge","Less knowledgeable women","503","1990","72","48.6"
"gender and knowledge","Less knowledgeable women","481","1992","72.7","46.1"
"gender and knowledge","Less knowledgeable women","248","1994","69.3","47.9"
"gender and knowledge","Less knowledgeable women","212","1996","70.9","46.7"
"gender and knowledge","Less knowledgeable women","205","1998","71","46.1"
"gender and knowledge","Less knowledgeable women","378","2000","72.8","42.6"
"gender and knowledge","Less knowledgeable women","221","2004","74.2","43.3"
"gender and knowledge","Less knowledgeable women","684","2008","72.2","36.6"
"gender and knowledge","Less knowledgeable women","162","2012","72.3","35"
"gender and knowledge","Less knowledgeable women","506","2016","68.9","30"
"gender and knowledge","Less knowledgeable women","1373","2020","74.2","22.3"
"gender and knowledge","Less knowledgeable women","947","2024","71.6","22.7"
"gender and knowledge","More knowledgeable women","555","1978","73.4","46.5"
"gender and knowledge","More knowledgeable women","441","1980","71.4","44.2"
"gender and knowledge","More knowledgeable women","153","1982","76","44.7"
"gender and knowledge","More knowledgeable women","471","1984","77.6","43.5"
"gender and knowledge","More knowledgeable women","297","1986","76","43.6"
"gender and knowledge","More knowledgeable women","457","1988","77.9","45.8"
"gender and knowledge","More knowledgeable women","389","1990","73.2","45.8"
"gender and knowledge","More knowledgeable women","547","1992","70.6","40.1"
"gender and knowledge","More knowledgeable women","589","1994","71.6","40.4"
"gender and knowledge","More knowledgeable women","552","1996","73.3","39.4"
"gender and knowledge","More knowledgeable women","397","1998","72.5","38.3"
"gender and knowledge","More knowledgeable women","372","2000","74.8","40"
"gender and knowledge","More knowledgeable women","274","2004","77.2","35.1"
"gender and knowledge","More knowledgeable women","342","2008","73.2","35.5"
"gender and knowledge","More knowledgeable women","453","2012","71.9","30.4"
"gender and knowledge","More knowledgeable women","1320","2016","68.9","24.7"
"gender and knowledge","More knowledgeable women","2446","2020","72.9","18.1"
"gender and knowledge","More knowledgeable women","1583","2024","72.2","19.6"
"education and race","Non-college whites","1206","1978","71.3","49"
"education and race","Non-college whites","889","1980","71.8","47.7"
"education and race","Non-college whites","787","1982","73.9","45.9"
"education and race","Non-college whites","1238","1984","74.5","47"
"education and race","Non-college whites","1064","1986","74","47.6"
"education and race","Non-college whites","977","1988","75","46.2"
"education and race","Non-college whites","943","1990","70.9","47.3"
"education and race","Non-college whites","1137","1992","69.2","42.6"
"education and race","Non-college whites","846","1994","68","41.7"
"education and race","Non-college whites","810","1996","70","41"
"education and race","Non-college whites","569","1998","68.4","42"
"education and race","Non-college whites","744","2000","71.7","41.3"
"education and race","Non-college whites","487","2004","73.4","40.1"
"education and race","Non-college whites","679","2008","69.6","36"
"education and race","Non-college whites","520","2012","69.1","36"
"education and race","Non-college whites","1450","2016","65.5","25.8"
"education and race","Non-college whites","2701","2020","73.3","17.5"
"education and race","Non-college whites","1849","2024","72.3","18.3"
"education and race","Non-college blacks","150","1978","76.8","44.5"
"education and race","Non-college blacks","148","1980","83.2","47"
"education and race","Non-college blacks","122","1982","84","37.3"
"education and race","Non-college blacks","185","1984","81","42.5"
"education and race","Non-college blacks","241","1986","79.8","41.5"
"education and race","Non-college blacks","198","1988","80.6","44.4"
"education and race","Non-college blacks","193","1990","76.7","45.9"
"education and race","Non-college blacks","215","1992","77.6","41.4"
"education and race","Non-college blacks","156","1994","77.8","52.4"
"education and race","Non-college blacks","147","1996","79.9","43.6"
"education and race","Non-college blacks","100","1998","83.7","37.5"
"education and race","Non-college blacks","141","2000","80.1","43.4"
"education and race","Non-college blacks","127","2004","76.1","42.2"
"education and race","Non-college blacks","426","2008","80.3","34.5"
"education and race","Non-college blacks","395","2012","81.4","28.1"
"education and race","Non-college blacks","247","2016","80.3","26.6"
"education and race","Non-college blacks","425","2020","76.5","23.9"
"education and race","Non-college blacks","302","2024","75.1","26.4"
"education and race","Non-college Hispanics","52","1978","76.3","42.3"
"education and race","Non-college Hispanics","40","1980","82.4","50.3"
"education and race","Non-college Hispanics","37","1982","76.5","47.4"
"education and race","Non-college Hispanics","102","1984","76.8","51.6"
"education and race","Non-college Hispanics","84","1986","77.2","48.2"
"education and race","Non-college Hispanics","114","1988","82.4","46.1"
"education and race","Non-college Hispanics","119","1990","72.7","52.6"
"education and race","Non-college Hispanics","152","1992","74.9","51.4"
"education and race","Non-college Hispanics","98","1994","70.8","49.6"
"education and race","Non-college Hispanics","110","1996","77.9","45"
"education and race","Non-college Hispanics","100","1998","76.9","48"
"education and race","Non-college Hispanics","89","2000","74","44.8"
"education and race","Non-college Hispanics","73","2004","76.4","47.4"
"education and race","Non-college Hispanics","363","2008","74.8","41.9"
"education and race","Non-college Hispanics","329","2012","74.9","34.4"
"education and race","Non-college Hispanics","272","2016","70.3","30.6"
"education and race","Non-college Hispanics","409","2020","73.3","26.2"
"education and race","Non-college Hispanics","340","2024","69.1","26.5"
"education and race","Non-college others","11","1978","NA","NA"
"education and race","Non-college others","5","1980","NA","NA"
"education and race","Non-college others","7","1982","NA","NA"
"education and race","Non-college others","23","1984","NA","NA"
"education and race","Non-college others","21","1986","NA","NA"
"education and race","Non-college others","38","1988","NA","NA"
"education and race","Non-college others","31","1990","NA","NA"
"education and race","Non-college others","30","1992","NA","NA"
"education and race","Non-college others","12","1994","NA","NA"
"education and race","Non-college others","20","1996","NA","NA"
"education and race","Non-college others","12","1998","NA","NA"
"education and race","Non-college others","57","2000","71.3","45.1"
"education and race","Non-college others","24","2004","79","46.2"
"education and race","Non-college others","44","2008","70.3","34.4"
"education and race","Non-college others","86","2012","68.5","34.2"
"education and race","Non-college others","143","2016","66.8","32.5"
"education and race","Non-college others","250","2020","70","24.4"
"education and race","Non-college others","169","2024","67.9","23.5"
"education and race","College grad+ whites","293","1978","66.2","46.5"
"education and race","College grad+ whites","209","1980","66.3","41.9"
"education and race","College grad+ whites","220","1982","70.1","42.4"
"education and race","College grad+ whites","299","1984","72.3","41.7"
"education and race","College grad+ whites","345","1986","70.8","43.9"
"education and race","College grad+ whites","315","1988","73.8","42.6"
"education and race","College grad+ whites","305","1990","67.4","41.8"
"education and race","College grad+ whites","440","1992","66.5","35.9"
"education and race","College grad+ whites","348","1994","70.8","35.3"
"education and race","College grad+ whites","383","1996","69.3","37.9"
"education and race","College grad+ whites","259","1998","64.9","37.8"
"education and race","College grad+ whites","409","2000","70.3","39.9"
"education and race","College grad+ whites","267","2004","71","33.1"
"education and race","College grad+ whites","302","2008","67.7","30.1"
"education and race","College grad+ whites","276","2012","64.1","29.2"
"education and race","College grad+ whites","1168","2016","64.1","24.1"
"education and race","College grad+ whites","2556","2020","67.8","16.6"
"education and race","College grad+ whites","1825","2024","67.1","18.9"
"education and race","College grad+ blacks","15","1978","NA","NA"
"education and race","College grad+ blacks","10","1980","NA","NA"
"education and race","College grad+ blacks","10","1982","NA","NA"
"education and race","College grad+ blacks","17","1984","NA","NA"
"education and race","College grad+ blacks","29","1986","NA","NA"
"education and race","College grad+ blacks","22","1988","NA","NA"
"education and race","College grad+ blacks","27","1990","NA","NA"
"education and race","College grad+ blacks","36","1992","NA","NA"
"education and race","College grad+ blacks","16","1994","NA","NA"
"education and race","College grad+ blacks","19","1996","NA","NA"
"education and race","College grad+ blacks","27","1998","NA","NA"
"education and race","College grad+ blacks","31","2000","NA","NA"
"education and race","College grad+ blacks","29","2004","NA","NA"
"education and race","College grad+ blacks","69","2008","78.9","32.3"
"education and race","College grad+ blacks","84","2012","81.6","22.7"
"education and race","College grad+ blacks","96","2016","74.4","21.1"
"education and race","College grad+ blacks","210","2020","74.2","19.2"
"education and race","College grad+ blacks","140","2024","74.1","24.8"
"education and race","College grad+ Hispanics","4","1978","NA","NA"
"education and race","College grad+ Hispanics","9","1980","NA","NA"
"education and race","College grad+ Hispanics","2","1982","NA","NA"
"education and race","College grad+ Hispanics","15","1984","NA","NA"
"education and race","College grad+ Hispanics","10","1986","NA","NA"
"education and race","College grad+ Hispanics","17","1988","NA","NA"
"education and race","College grad+ Hispanics","15","1990","NA","NA"
"education and race","College grad+ Hispanics","26","1992","NA","NA"
"education and race","College grad+ Hispanics","17","1994","NA","NA"
"education and race","College grad+ Hispanics","21","1996","NA","NA"
"education and race","College grad+ Hispanics","22","1998","NA","NA"
"education and race","College grad+ Hispanics","31","2000","NA","NA"
"education and race","College grad+ Hispanics","23","2004","NA","NA"
"education and race","College grad+ Hispanics","65","2008","72.1","35.4"
"education and race","College grad+ Hispanics","63","2012","70.4","33"
"education and race","College grad+ Hispanics","87","2016","66.9","26.7"
"education and race","College grad+ Hispanics","211","2020","69.9","21"
"education and race","College grad+ Hispanics","173","2024","68.5","21.6"
"education and race","College grad+ others","5","1978","NA","NA"
"education and race","College grad+ others","8","1980","NA","NA"
"education and race","College grad+ others","8","1984","NA","NA"
"education and race","College grad+ others","10","1986","NA","NA"
"education and race","College grad+ others","11","1988","NA","NA"
"education and race","College grad+ others","12","1990","NA","NA"
"education and race","College grad+ others","16","1992","NA","NA"
"education and race","College grad+ others","15","1994","NA","NA"
"education and race","College grad+ others","17","1996","NA","NA"
"education and race","College grad+ others","10","1998","NA","NA"
"education and race","College grad+ others","32","2000","NA","NA"
"education and race","College grad+ others","20","2004","NA","NA"
